DNo., Day,DD,MMM,YYYY,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus ball,   Jackpot, Wins,   Machine  ,Set
2417, Wed,20,Feb,2019, 03,11,17,33,41,51,48,  18448180,    0,  Lancelot  ,  6 
2416, Sat,16,Feb,2019, 11,15,18,43,46,51,12,  16502197,    0,  Lancelot  ,  5 
2415, Wed,13,Feb,2019, 04,08,26,31,42,45,55,  14000000,    0,  Lancelot  ,  6 
2414, Sat, 9,Feb,2019, 25,27,31,36,38,47,12,   7369767,    0,  Lancelot  ,  7 
2413, Wed, 6,Feb,2019, 03,16,24,41,44,53,15,   5116445,    0,  Guinevere ,  6 
2412, Sat, 2,Feb,2019, 01,06,41,53,55,59,20,   3800000,    0,  Lancelot  ,  6 
2411, Wed,30,Jan,2019, 07,22,31,43,47,58,02,  12950857,    0,  Guinevere ,  8 
2410, Sat,26,Jan,2019, 29,40,42,47,51,56,45,  11202778,    0,  Lancelot  ,  7 
2409, Wed,23,Jan,2019, 05,27,30,41,45,58,38,   8792887,    0,  Guinevere ,  5 
2408, Sat,19,Jan,2019, 11,15,17,22,31,52,45,   7361168,    0,  Guinevere ,  8 
2407, Wed,16,Jan,2019, 01,12,44,48,54,55,08,   5107726,    0,  Guinevere ,  7 
2406, Sat,12,Jan,2019, 13,29,32,43,49,55,26,   3800000,    0,  Guinevere ,  2 
2405, Wed, 9,Jan,2019, 03,17,36,42,51,57,18,   9370844,    1,  Lancelot  ,  5 
2404, Sat, 5,Jan,2019, 18,25,27,28,32,47,06,   7835827,    0,  Guinevere ,  4 
2403, Wed, 2,Jan,2019, 08,09,10,35,40,53,21,   5502058,    0,  Lancelot  ,  1 
2402, Sat,29,Dec,2018, 26,31,38,40,45,57,28,   4142191,    0,  Lancelot  ,  3 
2401, Wed,26,Dec,2018, 07,14,35,45,54,58,01,   2000000,    0,  Guinevere ,  2 
2400, Sat,22,Dec,2018, 04,15,17,24,32,56,31,   7500000,    2,  Lancelot  ,  4 
2399, Wed,19,Dec,2018, 12,24,33,34,39,56,38,   5341733,    0,  Guinevere ,  1 
2398, Sat,15,Dec,2018, 05,26,34,35,43,49,19,   4057861,    0,  Guinevere ,  4 
